core/section;mbsf;3He (pcc/g);3He/4He(x10-8);extraterrestrial 3He (pcc/g);3 He +/-;Carbonate Fraction;DBD (g/cm3);LSR (cm/kyr);LSR +/- 2 sigma;mean Depth (mbsf);Thickness (cm)
19H-3W-108-109;170.99;0.285318393;39.12272636;0.256146777;0.014585809;0.817649416;1.283384615;2.086788293;0.313018244;170.995;1
19H-3W-109-110;171;0.366150048;37.20409659;0.326783424;0.019683313;0.839314373;1.391615385;1.508498476;0.226274771;171.005;1
19H-3W-110-111;171.01;0.538565215;51.3876512;0.496643473;0.020960872;0.832603602;1.310846154;1.053725911;0.158058887;171.015;1
19H-3W-111-112;171.02;0.400666318;41.6529087;0.362189662;0.019238329;0.842520897;1.287423077;1.471183267;0.22067749;171.025;1
19H-3W-112-113;171.03;0.694320557;76.89466123;0.658202573;0.018058993;0.863131679;1.330230769;0.783497385;0.117524608;171.035;1
19H-3W-113-114;171.04;0.30691722;42.30350771;0.277896733;0.014510244;0.880893676;1.320538462;1.869345684;0.280401853;171.045;1
19H-3W-113-114;171.05;0.168787362;27.238931;0.144001173;0.012393095;0.868974145;1.272076923;3.744938687;0.561740803;171.055;1
19H-3W-115-116;171.06;0.260891901;42.8143205;0.236517645;0.012187128;0.869191827;1.270461538;2.282963915;0.342444587;171.065;1
19H-3W-116-117;171.07;0.348596125;60.40875298;0.325513647;0.011541239;0.896296034;1.296307692;1.625724;0.2438586;171.075;1
19H-3W-116-117;171.08;0.285335483;42.33016514;0.258372642;0.013481421;0.887322749;1.296307692;2.048186463;0.307227969;171.085;1
19H-3W-118-119;171.09;0.276824254;65.91167757;0.260024555;0.00839985;0.921262717;1.296307692;2.035174512;0.305276177;171.095;1
19H-3W-119-120;171.1;0.235879545;50.73848478;0.217283843;0.009297851;0.898917821;1.310846154;2.408490611;0.361273592;171.105;1
19H-3W-119-120;171.11;0.61292976;94.9003805;0.587095124;0.012917319;0.893829343;1.310846154;0.891382119;0.133707318;171.125;3
19H-3W-123-124;171.14;0.32788428;54.36526862;0.303759752;0.012062265;0.860339999;1.284192308;1.758586854;0.263788028;171.15;2
19H-3W-125-126;171.16;0.258779976;44.17798695;0.235349314;0.011715332;0.889268194;1.330230769;2.191210952;0.328681643;171.175;3
19H-3W-128-129;171.19;0.204693283;31.36605181;0.17858949;0.013051897;0.87715348;1.293076923;2.970597813;0.445589672;171.205;3
19H-3W-131-132;171.22;0.232230748;29.24931629;0.200471962;0.015879393;0.870767506;1.293076923;2.646342875;0.396951431;171.25;6
19H-3W-137-138;171.28;0.313763801;31.30044403;0.27366677;0.020048516;0.842843837;1.149307692;2.181050573;0.327157586;171.305;5
19H-3W-137-138;171.33;0.173482112;10.48632121;0.107307484;0.033087315;0.710281642;1.283384615;4.981237777;0.747185667;171.365;7
19H-3W-149-150;171.4;0.188095697;22.47750002;0.154622995;0.016736351;0.856103272;1.236538462;3.587917142;0.538187571;171.415;3
19H-4W-0-1;171.43;0.304937591;35.4070202;0.270488209;0.017224692;0.791391226;1.290653846;1.96501558;0.294752337;171.45;4
19H-4W-4-5;171.47;0.281256067;30.27903614;0.244100856;0.018577606;0.836766299;1.290653846;2.177434168;0.326615125;171.5;6
19H-4W-10-11;171.53;0.312991793;60.7496757;0.292383182;0.010304306;0.902551837;1.324576923;1.771309875;0.265696481;171.555;5
19H-4W-15-16;171.58;0.308103994;74.71269482;0.291608603;0.008247696;0.90233254;1.351230769;1.740981907;0.261147286;171.605;5
19H-4W-20-21;171.63;0.189372012;63.92182518;0.177521793;0.005925109;0.930677432;1.230076923;3.141522457;0.471228369;171.655;5
19H-4W-25-26;171.68;0.206876225;42.35276582;0.187337841;0.009769192;0.91834599;1.225230769;2.988688889;0.448303333;171.705;5
19H-4W-30-31;171.73;0.208625118;32.7987357;0.183182057;0.012721531;0.91834599;1.275307692;2.936474305;0.440471146;171.755;5
19H-4W-35-36;171.78;0.106928304;27.34677422;0.091287954;0.007820175;0.881509254;1.322961538;5.680197331;0.8520296;171.805;5
